Car_Name,Year,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
90,2014,3.35,27000,2,0,1,0
93,2013,4.75,43000,1,0,1,0
68,2017,7.25,6900,2,0,1,0
96,2011,2.85,5200,2,0,1,0
92,2014,4.6,42450,1,0,1,0
95,2018,9.25,2071,1,0,1,0
68,2015,6.75,18796,2,0,1,0
91,2015,6.5,33429,1,0,1,0
68,2016,8.75,20273,1,0,1,0
68,2015,7.45,42367,1,0,1,0
62,2017,2.85,2135,2,0,1,0
68,2015,6.85,51000,1,0,1,0
68,2015,7.5,15000,2,0,0,0
76,2015,6.1,26000,2,0,1,0
73,2009,2.25,77427,2,0,1,0
76,2016,7.75,43000,1,0,1,0
76,2015,7.25,41678,1,0,1,0
76,2016,7.75,43000,1,0,1,0
96,2015,3.25,35500,0,0,1,0
93,2010,2.65,41442,2,0,1,0
63,2016,2.85,25000,2,0,1,0
85,2017,4.9,2400,2,0,1,0
93,2011,4.4,50000,2,0,0,0
63,2014,2.5,45280,2,0,1,0
96,2013,2.9,56879,2,0,1,0
92,2011,3.0,20000,2,0,1,0
92,2013,4.15,55138,2,0,1,0
92,2017,6.0,16200,2,1,1,0
63,2010,1.95,44542,2,0,1,0
68,2015,7.45,45000,1,0,1,0
90,2012,3.1,51439,1,0,1,0
90,2011,2.35,54200,2,0,1,0
92,2014,4.95,39000,1,0,1,0
76,2014,6.0,45000,1,0,1,0
73,2014,5.5,45000,1,0,1,0
93,2011,2.95,49998,0,0,1,0
73,2015,4.65,48767,2,0,1,0
0,2003,0.35,127000,2,1,1,0
63,2016,3.0,10079,2,0,1,0
93,2003,2.25,62000,2,0,1,0
65,2016,5.85,24524,2,0,0,0
63,2014,2.55,46706,2,0,1,0
93,2008,1.95,58000,2,0,1,0
73,2014,5.5,45780,1,0,1,0
89,2012,1.25,50000,2,0,1,0
68,2014,7.5,15000,2,0,0,0
90,2013,2.65,64532,2,0,1,0
96,2006,1.05,65000,2,0,1,0
76,2015,5.8,25870,2,0,1,0
68,2017,7.75,37000,2,0,0,0
81,2012,14.9,104707,1,0,0,0
81,2015,23.0,40000,1,0,0,0
86,2017,18.0,15000,1,0,0,0
81,2013,16.0,135000,1,1,0,0
86,2005,2.75,90000,2,1,1,0
